date,return_forecast,rol_var_pred,observe_return,rolling_var,rol_avg,ewm
4/30/2014,0.858289123,0,5.859824011,40.38975841,1.306419892,-1.750322317
5/30/2014,-0.622192144,1.23E-32,6.195077786,40.65082027,1.26409537,3.685496488
6/30/2014,1.758866191,0,0.552483393,40.87574749,1.333034476,5.478054558
7/31/2014,2.387223244,0,12.2460505,41.12764122,1.405917744,1.95978944
8/29/2014,3.111136913,1.97E-31,-2.189758176,41.11291362,1.412417549,9.307118765
9/30/2014,1.810312271,0,2.62633564,42.44948276,1.556488731,1.095063807
10/31/2014,0.439769864,1.23E-32,3.154559024,42.58542742,1.53072687,2.188829402
11/28/2014,1.097240925,4.93E-32,3.270105115,42.57102842,1.561624937,2.878636274
12/31/2014,1.578586459,4.93E-32,-7.924385562,42.57081305,1.598737396,3.158256875
1/30/2015,3.964513302,7.89E-31,11.70888743,42.57212719,1.637209221,-4.757916294
2/27/2015,1.35577023,4.93E-32,2.939318577,43.60747855,1.543981155,7.004086367
3/31/2015,3.747976303,1.77E-30,-5.702794982,44.77604941,1.681732772,4.100680802
4/30/2015,1.651741028,0,-1.093248209,44.76018653,1.716312991,-2.9018019
5/29/2015,1.281712532,0,-1.81116108,45.36859621,1.649221285,-1.609977835
6/30/2015,0.345265776,2.28750017,1.716600411,45.42491558,1.636359541,-1.753680153
7/31/2015,1.946537018,4.44E-31,-1.672927249,45.53278775,1.615051764,0.725091678
8/31/2015,2.472436428,7.89E-31,-9.831212841,45.50181425,1.635247063,-0.987778984
9/30/2015,4.164335251,2.6154415,5.785983498,45.59872082,1.615565566,-7.304517453
10/30/2015,1.342085361,7.89E-31,-0.904415288,47.09615132,1.499904238,2.045840369
11/30/2015,0.928743839,1.23E-32,-2.007188162,47.28117378,1.567974633,-0.0614851
12/31/2015,0.584260762,4.93E-32,-13.02418973,47.32405077,1.557334453,-1.451273001
1/29/2016,1.155567884,4.44E-31,9.60162602,47.44444057,1.533720474,-9.717642091
2/29/2016,2.44654727,1.77E-30,10.20508065,49.8866148,1.380494713,4.081835131
3/31/2016,0.892472982,4.93E-32,-0.133594212,50.64657517,1.493455019,8.455581928
4/29/2016,0.584260762,4.93E-32,-3.364996254,51.49877274,1.613514791,2.320456114
5/31/2016,2.10563755,0,4.945859124,51.50405216,1.611943095,-1.740581292
6/30/2016,3.458265305,7.89E-31,6.524471466,51.76332687,1.572354903,3.035447577
7/29/2016,0.698316038,4.93E-32,1.068705627,51.86474391,1.630541481,5.527607498
8/31/2016,1.470369339,4.44E-31,2.191401508,52.10934481,1.707299969,2.34267759
9/30/2016,0.5,0,2.514421701,52.07969178,1.719872977,2.234623246
10/31/2016,-1.589293003,23.57165528,13.94456483,52.0468433,1.745654171,2.434479285
11/30/2016,-3.159399033,62.19078851,9.407963114,52.01707053,1.775235603,10.65596896
12/30/2016,1.945893288,3.08E-33,-1.419447579,53.69534647,1.939289306,9.764536213
1/31/2017,5.843819141,4.127201776,4.328402881,53.95679366,1.959037569,1.775976362
2/28/2017,0.217557371,3.362885087,6.458593265,54.08734604,1.914729153,3.599138161
3/31/2017,0.632313251,0,4.776328291,54.14238172,1.930639919,5.641606093
4/28/2017,5.499575615,3.16E-30,6.252546453,53.94292318,1.911936681,5.02355052
5/31/2017,2.925469398,0,-3.306590012,52.53737501,1.813134016,5.901404758
6/30/2017,-1.749550104,34.44315385,2.245804357,51.9557056,1.767655486,-0.675734364
7/31/2017,2.081324339,3.16E-30,-3.7733095,48.95677711,1.904490826,1.411079008
8/31/2017,2.027485371,5.05E-29,9.406730642,45.42223486,2.111228125,-2.292055641
9/29/2017,1.438434482,1.26E-29,2.989643101,42.79130809,1.854989178,6.064220275
10/31/2017,3.256322622,7.89E-31,11.18128037,40.80790933,2.118224009,3.868093722
11/30/2017,1.804409027,0,2.637061029,39.12474808,1.988091627,9.091798472
12/29/2017,1.599896908,3.16E-30,8.767074319,39.8332904,2.038524839,4.481271727
1/31/2018,0.669745922,7.89E-31,-7.757788701,39.41961574,1.975780846,7.542559293
2/28/2018,2.149179459,4.93E-32,1.688209653,39.16259814,1.958704566,-3.386260703
3/30/2018,2.07828474,1.26E-29,-1.063672544,39.59409042,1.933743042,0.23836098
4/30/2018,0.716503859,1.97E-31,1.600790146,39.54902667,1.907819661,-0.691662966
5/31/2018,5.6510005,28.41770582,-1.172863343,38.54111482,1.986906161,0.945803543
6/29/2018,0.529768705,2.84E-29,5.123213601,38.54045574,1.977141849,-0.567529947
7/31/2018,1.55916965,7.89E-31,-0.087854484,38.61707546,1.961743131,3.497286873
8/31/2018,1.56738615,2.84E-29,0.174362728,37.34662385,2.125485064,0.936471618
9/28/2018,2.766492605,3.16E-30,-15.48039535,37.15525348,2.153484994,0.392108125
10/31/2018,2.195133686,1.26E-29,2.918629338,35.00630273,2.290213611,-10.94539436
11/30/2018,0.584260762,7.70E-34,-17.15889736,36.63388273,2.237762505,-1.042520289
12/31/2018,0.5,7.89E-31,10.27371363,32.46887184,2.02546821,-12.5542182
1/31/2019,0.584260762,3.16E-30,1.052528749,36.72739478,1.818024581,3.751447396
2/28/2019,3.947810411,3.901850303,-4.6151326,37.50042605,1.890299029,1.823648362
3/29/2019,0.5,4.93E-32,4.220462377,36.81566817,1.790795618,-2.775480897
4/30/2019,0.5,7.89E-31,-11.97803449,37.26640689,1.698779664,2.221621441
5/31/2019,0.584260762,0,8.689302322,37.34009717,1.726395776,-7.920989941
6/28/2019,0.5,3.16E-30,1.315213741,39.50282569,1.551369019,3.943504533
7/31/2019,0.5,3.16E-30,-7.987701853,39.6884228,1.703148803,2.066153967
8/30/2019,0.5,7.89E-31,5.938263039,39.54954813,1.658200699,-5.115171619
9/30/2019,3.51561451,0,-2.582560212,40.1944835,1.617320097,2.780138851
10/31/2019,0.5,1.26E-29,-1.10093215,40.41100358,1.664968216,-1.05036048
11/29/2019,0.5,1.77E-30,6.241954718,40.60861855,1.603682539,-1.086483101
12/31/2019,0.5,3.16E-30,-14.61920696,39.871273,1.670023232,4.148115341
1/31/2020,0.5,1.97E-31,-18.07574303,40.09986263,1.710216854,-9.257114871
2/28/2020,1.256148577,0,-69.02021667,42.80993995,1.4529547,-15.55613498
3/31/2020,0.459276408,1.26E-29,21.38267737,47.18934052,1.20055684,-53.74476476
4/30/2020,0.501234531,3.16E-30,5.636958782,104.4844662,0.362046786,-0.082306099
5/29/2020,1.631623268,1.97E-31,-2.757911815,108.8147242,0.509559353,4.002883101
6/30/2020,2.487855434,1.26E-29,1.327896204,108.7665243,0.633329469,-0.826256125
7/31/2020,1.555444717,1.26E-29,20.46435767,108.8993984,0.590747471,0.71242411
8/31/2020,25.28503799,115.7195785,-14.43896948,108.3619214,0.678837541,14.82094808
9/30/2020,-0.312763691,0,-1.490058779,112.2885668,0.823632374,-6.078993035
10/30/2020,0.251498401,7.10E-30,35.20024979,114.5314426,0.719756456,-2.801182852
11/30/2020,35.51621628,109.9231767,11.33425339,113.3142432,0.572349212,24.34269761
